 Agricultura, inclusive apoio à agricultura e a pós-colheita 	 Pecuária, inclusive apoio à Pecuária 	 Produção florestal, pesca e aquicultura 	 Indústrias extrativas 	 Indústrias de transformação 	 SIUP 	 Construção 	 Comércio e reparação de veículos automotores e motocicletas 	 Transporte, armazenagem e correio 	 Alojamento e alimentação 	 Informação e comunicação 	 Atividades financeiras, de seguros e serviços relacionados 	 Atividades imobiliárias 	 Atividades profissionais, científicas e técnicas, administrativas e serviços complementares 	 Administração, defesa, educação e saúde públicas e seguridade social 	 Educação e saúde privadas 	 Artes, cultura, esporte e recreação e outras atividades de serviços 	 Serviços domésticos 	 Impostos 
337 	91 	79 	279 	3600 	268 	757 	1304 	254 	454 	139 	166 	886 	460 	2003 	90 	80 	247 	2394 
359 	97 	84 	297 	3834 	286 	806 	1389 	270 	484 	148 	177 	943 	490 	2134 	96 	85 	263 	2549 
379 	102 	88 	314 	4053 	302 	852 	1469 	286 	511 	157 	187 	997 	518 	2255 	102 	90 	278 	2695 
402 	108 	94 	332 	4294 	320 	903 	1556 	303 	542 	166 	198 	1056 	549 	2390 	108 	95 	295 	2855 
518 	108 	375 	574 	4112 	347 	792 	1409 	306 	600 	153 	203 	939 	542 	2303 	99 	91 	257 	2701 
554 	116 	401 	613 	4396 	371 	847 	1506 	328 	642 	164 	217 	1004 	579 	2462 	106 	97 	274 	2887 
567 	118 	411 	628 	4500 	380 	867 	1542 	335 	657 	168 	222 	1027 	593 	2520 	109 	99 	281 	2955 
592 	123 	429 	655 	4696 	396 	905 	1609 	350 	686 	175 	232 	1072 	619 	2630 	113 	104 	293 	3084 
510 	117 	342 	766 	3384 	421 	803 	1607 	401 	620 	154 	223 	945 	602 	2569 	121 	105 	286 	2972 
534 	122 	359 	802 	3545 	441 	841 	1683 	420 	650 	161 	233 	990 	630 	2691 	127 	110 	300 	3113 
555 	127 	373 	834 	3687 	459 	874 	1750 	437 	676 	167 	243 	1029 	655 	2799 	132 	115 	312 	3238 
574 	131 	385 	862 	3810 	474 	904 	1809 	451 	698 	173 	251 	1064 	677 	2893 	137 	119 	322 	3347 
670 	130 	403 	801 	3725 	397 	997 	1982 	494 	693 	199 	231 	1062 	718 	2933 	153 	95 	342 	3316 
714 	139 	429 	854 	3968 	423 	1062 	2111 	526 	738 	212 	246 	1131 	764 	3125 	163 	102 	364 	3532 
731 	142 	440 	874 	4062 	433 	1087 	2161 	539 	756 	218 	252 	1158 	783 	3199 	167 	104 	373 	3617 
763 	148 	459 	912 	4240 	452 	1135 	2256 	562 	789 	227 	263 	1208 	817 	3339 	174 	109 	389 	3774 
628 	140 	475 	493 	3966 	512 	974 	1884 	453 	778 	255 	292 	1353 	952 	3385 	182 	121 	401 	3542 
644 	143 	487 	506 	4070 	525 	999 	1934 	465 	798 	261 	299 	1389 	977 	3474 	187 	124 	411 	3635 
662 	147 	501 	520 	4184 	540 	1027 	1988 	478 	820 	268 	308 	1427 	1004 	3571 	192 	128 	423 	3737 
684 	152 	517 	537 	4318 	557 	1060 	2052 	493 	847 	277 	318 	1473 	1036 	3686 	199 	132 	436 	3857 
747 	139 	521 	363 	4226 	437 	861 	1966 	734 	458 	285 	321 	1456 	861 	3537 	352 	224 	175 	3371 
759 	141 	530 	369 	4294 	444 	875 	1997 	745 	466 	289 	326 	1479 	875 	3594 	357 	228 	178 	3425 
773 	144 	540 	376 	4376 	453 	891 	2035 	760 	475 	295 	332 	1507 	892 	3662 	364 	232 	181 	3490 
795 	148 	555 	386 	4499 	465 	916 	2092 	781 	488 	303 	341 	1549 	917 	3765 	374 	238 	186 	3588 
815 	132 	459 	79 	4979 	408 	836 	2003 	670 	394 	257 	356 	1519 	845 	3638 	355 	216 	194 	3141 
847 	137 	477 	82 	5174 	424 	869 	2081 	696 	410 	268 	370 	1579 	878 	3780 	369 	225 	202 	3264 
858 	139 	483 	83 	5237 	430 	879 	2106 	705 	415 	271 	374 	1598 	889 	3826 	373 	227 	205 	3304 
889 	144 	500 	86 	5427 	445 	911 	2183 	730 	430 	281 	388 	1656 	921 	3965 	387 	236 	212 	3423 
781 	130 	441 	108 	4976 	487 	719 	2155 	721 	443 	281 	400 	1587 	997 	3941 	376 	225 	181 	3559 
803 	134 	454 	111 	5115 	501 	739 	2215 	741 	456 	288 	411 	1631 	1025 	4051 	386 	231 	186 	3658 
810 	135 	458 	112 	5159 	505 	746 	2234 	748 	460 	291 	415 	1645 	1034 	4086 	390 	233 	188 	3690 
842 	141 	476 	117 	5362 	525 	775 	2322 	777 	478 	302 	431 	1710 	1075 	4247 	405 	242 	195 	3836 
712 	136 	477 	332 	5224 	716 	678 	2241 	772 	491 	298 	432 	1698 	1041 	4181 	402 	238 	196 	3783 
