Periodo	Agricultura	Pecuária	Produção_florestal_pesca_e_aquicultura	Indústrias_extrativas	Indústrias_de_transformação	Eletricidade_e_gás_água_esgoto_atividades_de_gestão_de_resíduos_e_descontaminação	Construção	Comércio_e_reparação_de_veículos_automotores_e_motocicletas	Transporte_armazenagem_e_correio	Alojamento_e_alimentação	Informação_e_comunicação	Atividades_financeiras,_de_seguros_e_serviços_relacionados	Atividades_imobiliárias	Atividades_profissionais,_científicas_e_técnicas,_administrativas_e_serviços_complementares	Administração,_defesa,_educação_e_saúde_públicas_e_seguridade_social	Educação_e_saúde_privadas	Artes_cultura_esporte_e_recreação_e_outras_atividades_de_serviços	Serviços_domésticos	Impostos																						
1º trimestre 2010	336821363 	90839835 	78594475 	278594416 	3599861181 	268097408 	756829904 	1304421047 	253593015 	454211142 	139169942 	166188852 	885520751 	459934801 	2003138848 	90406872 	79950821 	246914501 	2393526345 																						
2º trimestre 2010	358765043 	96757988 	83714851 	296744651 	3834389667 	285563770 	806136853 	1389403183 	270114426 	483802686 	148236768 	177015942 	943211820 	489899238 	2133641969 	96296817 	85159562 	263000812 	2549462944 																						
3º trimestre 2010	379204770 	102270529 	88484292 	313650923 	4052844279 	301833041 	852064453 	1468560901 	285503510 	511366115 	156682182 	187100976 	996948918 	517810002 	2255200801 	101783084 	90011312 	277984615 	2694712120 																						
4º trimestre 2010	401790024 	108361712 	93754374 	332331822 	4294229736 	319810071 	902813002 	1556027682 	302507962 	541822835 	166014097 	198244620 	1056326716 	548650517 	2389519477 	107845236 	95372342 	294541245 	2855207878 																						
1º trimestre 2011	518403938 	108091311 	375405531 	573769360 	4112165877 	347137530 	792249466 	1408748719 	306449214 	600390552 	153446214 	202984968 	938922375 	541631722 	2302938804 	99193497 	90761522 	256772029 	2700521266 																						
2º trimestre 2011	554193850 	115553790 	401323025 	613381627 	4396064292 	371103439 	846945307 	1506006841 	327606057 	641840710 	164039935 	216998778 	1003744316 	579025249 	2461930610 	106041683 	97027576 	274499226 	2886961632 																						
3º trimestre 2011	567259516 	118278085 	410784611 	627842703 	4499705839 	379852568 	866912877 	1541512436 	335329692 	656972737 	167907338 	222114738 	1027408578 	592676340 	2519973049 	108541720 	99315097 	280970815 	2955024596 																						
4º trimestre 2011	591976419 	123431754 	428683514 	655199366 	4695769173 	396403686 	904686419 	1608679953 	349940838 	685598667 	175223476 	231792828 	1072175315 	618500717 	2629774520 	113271151 	103642501 	293213410 	3083782341 																						
1º trimestre 2012	509562505 	116533932 	342243033 	765985034 	3383978140 	421396892 	802547582 	1606713885 	400953481 	620327787 	153640579 	222738076 	944799802 	601579164 	2568917092 	121279877 	105338990 	286105829 	2972256882 																						
2º trimestre 2012	533771248 	122070328 	358502615 	802376123 	3544747142 	441416985 	840675717 	1683047058 	420002331 	649798863 	160939870 	233320112 	989686180 	630159514 	2690963459 	127041748 	110343528 	299698396 	3113465469 																						
3º trimestre 2012	555124691 	126953735 	372844461 	834475066 	3686554250 	459075809 	874306830 	1750377118 	436804465 	675793975 	167378247 	242654050 	1029278436 	655368957 	2798615071 	132124035 	114757805 	311687788 	3238019215 																						
4º trimestre 2012	573748547 	131212900 	385353006 	862470837 	3810234314 	474477326 	903638916 	1809100451 	451458801 	698466160 	172993613 	250794841 	1063809657 	677355904 	2892505698 	136556659 	118607810 	322144589 	3346651394 																						
1º trimestre 2013	669941083 	130060363 	403032379 	801276299 	3724802314 	396720461 	996947760 	1981678859 	493776702 	693258507 	199461714 	230923790 	1061588294 	717628476 	2933385837 	153301038 	95446682 	341896509 	3316072669 																						
2º trimestre 2013	713621031 	138540258 	429309963 	853519261 	3967658251 	422586510 	1061948439 	2110883696 	525970787 	738458743 	212466555 	245979948 	1130803516 	764417626 	3124641670 	163296217 	101669775 	364188054 	3532279562 																						
3º trimestre 2013	730638704 	141844018 	439547690 	873873078 	4062274732 	432663902 	1087272653 	2161221799 	538513577 	756068719 	217533231 	251845815 	1157769712 	782646643 	3199154791 	167190331 	104094288 	372872822 	3616513597 																						
4º trimestre 2013	762530419 	148035380 	458733546 	912016842 	4239589328 	451549288 	1134731115 	2255557164 	562019205 	789070431 	227028358 	262838656 	1208305306 	816808456 	3338794987 	174488037 	108637909 	389148382 	3774371125 																						
1º trimestre 2014	627901568 	139579314 	475025079 	492841830 	3965977215 	511694731 	973508236 	1884316842 	452870908 	777629499 	254502299 	291802808 	1353118302 	951650678 	3385473741 	182332737 	121289069 	400893571 	3542299967 																						
2º trimestre 2014	644338543 	143233170 	487460110 	505743261 	4069797099 	525089687 	998992374 	1933643791 	464725995 	797985997 	261164566 	299441513 	1388539732 	976562637 	3474097420 	187105776 	124464129 	411388014 	3635028985 																						
3º trimestre 2014	662382445 	147244237 	501110826 	519905974 	4183766722 	539794172 	1026967917 	1987793089 	477740070 	820332605 	268478156 	307827002 	1427424066 	1003910063 	3571385211 	192345441 	127949593 	422908426 	3736823466 																						
4º trimestre 2014	683618622 	151964931 	517176587 	536574313 	4317899520 	557100133 	1059892812 	2051522323 	493056558 	846632711 	277085645 	317696027 	1473187704 	1036095716 	3685884877 	198512093 	132051695 	436466995 	3856627131 																						
1º trimestre 2015	747135558 	139148422 	521399286 	362776282 	4226487121 	437204948 	860988284 	1965909245 	733701016 	458457637 	284511427 	320757808 	1455778062 	861227506 	3537287522 	351540016 	223963583 	174868455 	3370913059 																						
2º trimestre 2015	759081874 	141373334 	529736194 	368576889 	4294066492 	444195632 	874755047 	1997343131 	745432521 	465788141 	289060619 	325886561 	1479055211 	874998094 	3593846944 	357160961 	227544646 	177664512 	3424812238 																						
3º trimestre 2015	773487179 	144056215 	539789144 	375571474 	4375556172 	452625254 	891355514 	2035247260 	759578799 	474627530 	294546202 	332071000 	1507123648 	891603173 	3662048365 	363938903 	231862823 	181036101 	3489805842 																						
4º trimestre 2015	795221640 	148104096 	554956850 	386124776 	4498506309 	465343715 	916401994 	2092436316 	780922444 	487964239 	302822749 	341401968 	1549472792 	916656613 	3764949420 	374165337 	238378010 	186123091 	3587866999 																						
1º trimestre 2016	815243177 	131956761 	459162800 	78726133 	4978991554 	408362322 	835936503 	2002597157 	669862275 	394436470 	257407990 	355810227 	1519287261 	844971222 	3637526338 	354722610 	216115102 	194497394 	3140711642 																						
2º trimestre 2016	847213093 	137131471 	477168957 	81813393 	5174243653 	424376328 	868717912 	2081129385 	696131051 	409904372 	267502293 	369763392 	1578866400 	878106929 	3780172625 	368633125 	224590097 	202124646 	3263875245 																						
3º trimestre 2016	857509722 	138798102 	482968243 	82807715 	5237128971 	429533998 	879275900 	2106422451 	704591500 	414886156 	270753390 	374257322 	1598055198 	888779027 	3826115061 	373113318 	227319659 	204581173 	3303542846 																						
4º trimestre 2016	888559891 	143823940 	500456378 	85806157 	5426763835 	445087295 	911114216 	2182695374 	730104546 	429909059 	280557289 	387809067 	1655920296 	920961448 	3964657536 	386623639 	235550835 	211988996 	3423163139 																						
1º trimestre 2017	781105195 	130439882 	441270009 	108113998 	4975570219 	486907765 	719285721 	2154650016 	721073484 	443425532 	280560914 	399943058 	1586874871 	997194216 	3940811209 	375910680 	224993264 	181172574 	3558896197 																						
2º trimestre 2017	802946116 	134087185 	453608607 	111137034 	5114694930 	500522466 	739398073 	2214897395 	741235824 	455824402 	288405835 	411126090 	1631246370 	1025077323 	4051002443 	386421729 	231284427 	186238442 	3658408491 																						
